,action_id,start,end,TransferData_start,TransferData_end,TrainModel_start,TrainModel_end,TransferModel_start,TransferModel_end,TransferDataRes_bytes_transferred,TransferModelRes_bytes_transferred,total_bytes_transferred,funcx_task_ids,flow_runtime,TransferData_runtime,TrainModel_runtime,TransferModel_runtime,total_funcx_time
0,97e8ded7-7c8d-4f9a-940a-8c64ae62f669,1647970404.972391,1647970597.089,1647970405.794,1647970417.286,1647970417.3070002,1647970444.997,1647970445.0049999,1647970597.089,2789804,604545,3394349,[],192.1166090965271,11.492000102996826,27.68999981880188,152.08400011062622,27.68999981880188
1,8c572aba-5c70-4d69-9b3c-44139ce2f936,1647970576.908354,1647970770.691,1647970577.5310001,1647970585.038,1647970585.0470002,1647970744.018,1647970744.0419998,1647970770.691,2789804,4118484,6908288,[],193.78264594078064,7.506999969482422,158.9709997177124,26.64900016784668,158.9709997177124
2,d2bb2972-6b8d-41d4-a07a-d064109634ea,1647971399.461007,1647972054.479,1647971399.884,1647971666.335,1647971666.351,1647972041.0449998,1647972041.072,1647972054.479,24160587990,4118484,24164706474,[],655.0179929733276,266.45099997520447,374.69399976730347,13.407000064849854,374.69399976730347
3,2f434672-6e9d-4425-8f1d-ee81492aefd9,1647972182.2564569,1647972501.224,1647972183.3379998,1647972277.073,1647972277.089,1647972433.934,1647972433.964,1647972501.224,24160587990,4118483,24164706473,[],318.9675431251526,93.7350001335144,156.84500002861023,67.25999999046326,156.84500002861023
4,99b18313-37ad-4629-8dff-1f4461d5692c,1647972496.9469912,1647972811.06,1647972498.203,1647972649.089,1647972649.1030002,1647972799.582,1647972799.609,1647972811.06,24160587990,4118484,24164706474,[],314.1130087375641,150.885999917984,150.47899985313416,11.450999975204468,150.47899985313416
5,b53ad02a-36b7-48e2-a6e3-72d529b51430,1647972813.144087,1647973049.638,1647972813.641,1647972883.9139998,1647972883.928,1647973043.315,1647973043.337,1647973049.638,24160587990,4118484,24164706474,[],236.49391293525696,70.27299976348877,159.38700008392334,6.301000118255615,159.38700008392334
6,83a44474-dd34-406d-9b30-3c77458dc537,1647973051.463809,1647973390.129,1647973051.654,1647973188.776,1647973188.7910001,1647973338.072,1647973338.096,1647973390.129,24160587990,4118484,24164706474,[],338.6651909351349,137.12199997901917,149.28099989891052,52.032999992370605,149.28099989891052
7,372ec714-99ba-40f1-b5f3-d29c6a93ed74,1647973390.894013,1647973749.472,1647973391.629,1647973537.7649999,1647973537.782,1647973710.88,1647973710.905,1647973749.472,24160587990,4118484,24164706474,[],358.5779869556427,146.135999917984,173.09800004959106,38.56699991226196,173.09800004959106
8,d96a5ce9-0eed-4535-8f3a-446eac74ec61,1647973755.454962,1647974043.851,1647973756.155,1647973891.276,1647973891.295,1647974037.352,1647974037.401,1647974043.851,24160587990,4118483,24164706473,[],288.3960380554199,135.1210000514984,146.0569999217987,6.450000047683716,146.0569999217987
9,98d08605-7336-44a8-b504-9f8fafc3986f,1647974045.2089012,1647974265.385,1647974045.599,1647974108.133,1647974108.156,1647974259.963,1647974259.993,1647974265.385,24160587990,4118484,24164706474,[],220.17609882354736,62.53399991989136,151.80700016021729,5.391999959945679,151.80700016021729
10,b66b1ce3-0619-4736-a1c2-a43454658dce,1647974270.6191301,1647974504.873,1647974270.8990002,1647974343.669,1647974343.682,1647974498.4129999,1647974498.4540002,1647974504.873,24160587990,4118482,24164706472,[],234.2538697719574,72.76999974250793,154.73099994659424,6.418999671936035,154.73099994659424
11,fa070448-bc13-4d06-bbcb-aadcf6215cd2,1647974509.0599391,1647974822.2089999,1647974509.4169998,1647974604.0310001,1647974604.0449998,1647974767.106,1647974767.128,1647974822.2089999,24160587990,4118483,24164706473,[],313.14906072616577,94.61400032043457,163.06100010871887,55.08099985122681,163.06100010871887
12,f1e88d85-5de5-4f12-9769-282e0db3039d,1647974827.063612,1647975182.335,1647974827.576,1647975011.823,1647975011.835,1647975176.7740002,1647975176.8,1647975182.335,24160587990,4118483,24164706473,[],355.27138805389404,184.24699997901917,164.9390001296997,5.5350000858306885,164.9390001296997
13,db1ff073-4cc4-4064-90e0-81cb2bb098c5,1647975184.014923,1647975490.704,1647975184.259,1647975327.91,1647975327.924,1647975472.996,1647975473.021,1647975490.704,24160587990,4118484,24164706474,[],306.6890769004822,143.65100002288818,145.07200002670288,17.683000087738037,145.07200002670288
14,4062336b-a707-4df5-82b5-042c5f631e05,1647975496.907253,1647975792.424,1647975497.232,1647975610.595,1647975610.608,1647975784.7150002,1647975784.743,1647975792.424,24160587990,4118483,24164706473,[],295.51674699783325,113.36299991607666,174.10700011253357,7.680999994277954,174.10700011253357
15,13febde0-ac61-4a85-a4da-8f6c22e6d6a0,1647975797.0322912,1647976091.792,1647975797.4780002,1647975899.6590002,1647975899.672,1647976081.987,1647976082.0470002,1647976091.792,24160587990,4118483,24164706473,[],294.7597088813782,102.18099999427795,182.31500005722046,9.744999885559082,182.31500005722046
16,bac4e52f-7925-4a08-9d3b-6ceba4d7b1b2,1647976096.4836962,1647976446.1529999,1647976097.252,1647976261.704,1647976261.745,1647976441.018,1647976441.043,1647976446.1529999,24160587990,4118484,24164706474,[],349.6693036556244,164.45199990272522,179.27300000190735,5.109999895095825,179.27300000190735
17,e66b560d-dde7-41c1-9987-814debb253c1,1647976449.9833632,1647976777.2659998,1647976450.6990001,1647976585.766,1647976585.7779999,1647976769.8419998,1647976769.866,1647976777.2659998,24160587990,4118483,24164706473,[],327.28263664245605,135.06699991226196,184.06399989128113,7.3999998569488525,184.06399989128113
18,d6505c2b-97aa-492d-b551-914f065b76cc,1647976779.8871648,1647977021.018,1647976780.283,1647976863.8470001,1647976863.8609998,1647977014.923,1647977014.95,1647977021.018,24160587990,4118484,24164706474,[],241.13083505630493,83.5640001296997,151.0620002746582,6.067999839782715,151.0620002746582
19,3ed28624-17ba-438e-aa4c-d6be523977e5,1647977022.95201,1647977400.987,1647977023.4350002,1647977180.575,1647977180.593,1647977386.9980001,1647977387.018,1647977400.987,24160587990,4118483,24164706473,[],378.03499007225037,157.1399998664856,206.40500020980835,13.969000101089478,206.40500020980835
20,a4eb0482-241f-4040-811b-ac8b4b2b9f17,1647977403.729655,1647977838.981,1647977404.2489998,1647977674.768,1647977674.783,1647977833.465,1647977833.501,1647977838.981,24160587990,4118483,24164706473,[],435.2513449192047,270.51900005340576,158.6819999217987,5.480000019073486,158.6819999217987
21,597ff97d-6550-4d7b-81f2-25ffdb56508f,1647977841.181538,1647978153.504,1647977841.572,1647977980.92,1647977980.937,1647978127.775,1647978127.799,1647978153.504,24160587990,4118484,24164706474,[],312.3224618434906,139.34800004959106,146.8380000591278,25.704999923706055,146.8380000591278
22,009c6407-3338-4a31-8974-33eb51f87514,1647978153.974268,1647978383.7619998,1647978154.2540002,1647978224.3070002,1647978224.325,1647978377.368,1647978377.393,1647978383.7619998,24160587990,4118483,24164706473,[],229.78773188591003,70.05299997329712,153.04299998283386,6.36899995803833,153.04299998283386
23,1a03f2ff-1b65-4e68-b58c-ba81e48659ad,1647978386.3981109,1647978630.7059999,1647978386.964,1647978475.255,1647978475.267,1647978621.318,1647978621.34,1647978630.7059999,24160587990,4118483,24164706473,[],244.30788898468018,88.29100012779236,146.05100011825562,9.365999937057495,146.05100011825562
24,6f665d86-1e71-4b63-9b75-0f405ec8367c,1647978636.32861,1647978889.063,1647978636.764,1647978702.826,1647978702.8409998,1647978883.111,1647978883.135,1647978889.063,24160587990,4118482,24164706472,[],252.73439002037048,66.06200003623962,180.2700002193451,5.927999973297119,180.2700002193451
25,9d5343b0-019f-4f3f-bd92-9a032b40bd9c,1647978891.2953541,1647979132.013,1647978892.626,1647978960.457,1647978960.4750001,1647979118.311,1647979118.3379998,1647979132.013,24160587990,4118484,24164706474,[],240.71764588356018,67.83100008964539,157.83599996566772,13.675000190734863,157.83599996566772
26,aeff7c06-cc60-4365-b62a-37da49035dbb,1647979137.198785,1647979387.308,1647979137.58,1647979216.642,1647979216.754,1647979380.86,1647979380.887,1647979387.308,24160587990,4118484,24164706474,[],250.10921502113342,79.06200003623962,164.10599994659424,6.421000003814697,164.10599994659424
27,2b2951a3-a525-4a6c-93ad-5490b02ee6b2,1647979390.908457,1647979647.484,1647979391.331,1647979470.878,1647979470.894,1647979627.013,1647979627.038,1647979647.484,24160587990,4118484,24164706474,[],256.57554292678833,79.54699993133545,156.11899995803833,20.44599986076355,156.11899995803833
28,061e876f-ba91-4600-978e-1205e7b7f717,1647979651.943667,1647979899.429,1647979652.211,1647979724.329,1647979724.3420002,1647979893.613,1647979893.642,1647979899.429,24160587990,4118484,24164706474,[],247.48533296585083,72.11800003051758,169.2709996700287,5.786999940872192,169.2709996700287
29,ac6fc13f-46a2-4847-a69e-c6277450df0a,1647979902.097157,1647980148.553,1647979902.6899998,1647979977.789,1647979977.804,1647980140.474,1647980140.502,1647980148.553,24160587990,4118484,24164706474,[],246.45584297180176,75.0990002155304,162.67000007629395,8.050999879837036,162.67000007629395
30,7d4ce0d1-1365-453e-8294-453b9aa7f1ad,1647980154.8587909,1647980414.763,1647980155.243,1647980234.619,1647980234.633,1647980399.916,1647980399.943,1647980414.763,24160587990,4118484,24164706474,[],259.9042091369629,79.37599992752075,165.2829999923706,14.819999933242798,165.2829999923706
31,193ab6c6-844b-4b9c-83a1-2c95d8627260,1647980416.573374,1647980773.288,1647980416.994,1647980571.586,1647980571.6019998,1647980748.92,1647980748.944,1647980773.288,24160587990,4118484,24164706474,[],356.7146260738373,154.5920000076294,177.31800031661987,24.344000101089478,177.31800031661987
32,04de2d42-0e66-4d51-9ad4-c79b2f72859f,1647980775.81825,1647981047.3059998,1647980776.1009998,1647980846.923,1647980846.9390001,1647981022.0979998,1647981022.125,1647981047.3059998,24160587990,4118484,24164706474,[],271.4877498149872,70.82200026512146,175.15899968147278,25.180999755859375,175.15899968147278
33,5ba2acae-8a32-441c-ba6b-053c2b195131,1647981049.938366,1647981379.704,1647981050.6950002,1647981190.856,1647981190.871,1647981372.177,1647981372.223,1647981379.704,24160587990,4118484,24164706474,[],329.765634059906,140.16099977493286,181.30599999427795,7.480999946594238,181.30599999427795
34,2350ed14-0195-474c-aad8-86745c37975b,1647981384.431059,1647981702.148,1647981384.638,1647981521.98,1647981521.994,1647981690.813,1647981690.84,1647981702.148,24160587990,4118482,24164706472,[],317.71694111824036,137.3420000076294,168.81900000572205,11.308000087738037,168.81900000572205
35,869af683-4da9-44ed-b8f1-b757a463b02d,1647981702.961183,1647981987.049,1647981703.349,1647981806.245,1647981806.263,1647981975.6929998,1647981975.717,1647981987.049,24160587990,4118483,24164706473,[],284.08781695365906,102.89599990844727,169.42999982833862,11.332000017166138,169.42999982833862
36,b554deae-778a-406d-b494-c6e4336667b0,1647981992.728435,1647982290.225,1647981992.931,1647982126.119,1647982126.134,1647982281.866,1647982281.891,1647982290.225,24160587990,4118484,24164706474,[],297.4965648651123,133.18799996376038,155.731999874115,8.333999872207642,155.731999874115
