,action_id,start,end,TransferFromClutchToTheta_start,TransferFromClutchToTheta_end,PrePublishGatherMetadata_start,PrePublishGatherMetadata_end,PrePublishTransfer_start,PrePublishTransfer_end,PrePublishIngest_start,PrePublishIngest_end,AcquireNodes_start,AcquireNodes_end,XpcsBoostCorr_start,XpcsBoostCorr_end,MakeCorrPlots_start,MakeCorrPlots_end,GatherXpcsMetadata_start,GatherXpcsMetadata_end,PublishGatherMetadata_start,PublishGatherMetadata_end,PublishTransfer_start,PublishTransfer_end,PublishIngest_start,PublishIngest_end,TransferFromClutchToTheta_bytes_transferred,PrePublishTransfer_bytes_transferred,PublishTransfer_bytes_transferred,total_bytes_transferred,TransferFromClutchToTheta_action_time,PrePublishTransfer_action_time,PrePublishIngest_action_time,PublishTransfer_action_time,PublishIngest_action_time,funcx_task_ids,flow_runtime,TransferFromClutchToTheta_runtime,PrePublishGatherMetadata_runtime,PrePublishTransfer_runtime,PrePublishIngest_runtime,AcquireNodes_runtime,XpcsBoostCorr_runtime,MakeCorrPlots_runtime,GatherXpcsMetadata_runtime,PublishGatherMetadata_runtime,PublishTransfer_runtime,PublishIngest_runtime,total_funcx_time
10,0e62ef83-662a-4b3c-9fcb-33aeb57a685b,1646942779.985798,1646942901.3820002,1646942780.3779998,1646942784.696,1646942784.71,1646942795.533,1646942795.544,1646942799.441,1646942799.4550002,1646942804.073,1646942804.0870001,1646942811.1580002,1646942811.171,1646942837.1980002,1646942837.212,1646942868.1009998,1646942868.116,1646942876.34,1646942876.355,1646942888.389,1646942888.418,1646942895.928,1646942895.945,1646942901.3820002,134412065,212087169,237574159,584073393,2.0,3.0,1.0,3.0,1.0,"['5fe92c89-d134-4548-ab48-84f6de2e4b8f', 'f1ced068-dcd8-470b-b6e1-3156f255c06c', '628f5939-7434-4b02-a027-5ab315fea6d1', 'b8923b11-554b-4acb-a30f-2d52f1d000e2', 'e9eb8c82-27a1-4c1d-89fa-14cd18244525', '2c77c843-3c56-4a3c-9ef5-7b73a595bbf7']",121.39620232582092,4.318000316619873,10.822999954223633,3.8970000743865967,4.617999792098999,7.071000099182129,26.027000188827515,30.888999938964844,8.223999977111816,12.033999919891357,7.509999990463257,5.437000274658203,95.0680000782013
11,1164ec5a-2a72-40db-ba2f-bfd530a53389,1646942786.134075,1646942918.582,1646942786.32,1646942796.3539999,1646942796.365,1646942803.259,1646942803.2710001,1646942810.2,1646942810.2099998,1646942813.979,1646942813.9910002,1646942831.437,1646942831.449,1646942848.722,1646942848.736,1646942864.465,1646942864.479,1646942871.369,1646942871.384,1646942878.8009999,1646942878.8179998,1646942914.929,1646942914.9459999,1646942918.582,116054655,178353020,217060614,511468289,2.0,2.0,1.0,34.0,0.0,"['4460186b-4ddf-492a-8d41-c7fabfbd34ca', '749167c5-747e-4352-b1e1-e9edac735fea', '79d17a1e-cb74-4f9e-b14f-31b79b8fd55c', '7b4550c1-0a86-46fc-be10-d472aac484f4', 'ec35769e-c782-4ff8-a171-00f6e17c3478', 'c41dba75-3878-44d5-b8b0-e256e873e54b']",132.4479250907898,10.033999919891357,6.894000053405762,6.928999900817871,3.769000291824341,17.44599986076355,17.27300000190735,15.728999853134155,6.889999866485596,7.416999816894531,36.111000061035156,3.636000156402588,71.64899945259094
12,7571f6f9-dc1a-40a9-979e-0d76548b6b23,1646942792.047182,1646942926.542,1646942792.267,1646942796.63,1646942796.64,1646942804.832,1646942804.844,1646942808.981,1646942808.994,1646942813.0089998,1646942813.027,1646942842.255,1646942842.269,1646942860.452,1646942860.47,1646942888.339,1646942888.3539999,1646942901.324,1646942901.3409998,1646942911.204,1646942911.2220001,1646942921.563,1646942921.584,1646942926.542,116054649,201802742,238612268,556469659,3.0,2.0,0.0,3.0,1.0,"['d633984a-5297-43d5-bc10-769bf66a5f70', '962f4bca-f7ff-4227-a47c-a1012e1db693', '4acc6cca-ec2b-4b22-aba2-3175d2b45f12', '00535511-e1bf-4910-96b5-2dec7f9919d4', '7e942f2f-1698-4487-9ebd-c2bc020b89a6', '295ced06-4676-4c3b-a366-f652f9058062']",134.49481797218323,4.363000154495239,8.191999912261963,4.136999845504761,4.014999866485596,29.228000164031982,18.182999849319458,27.86899995803833,12.97000002861023,9.86300015449524,10.340999841690063,4.95799994468689,106.3050000667572
13,faad20ef-2064-4141-b369-1c0d3047c051,1646942798.3792698,1646942908.325,1646942799.3070002,1646942804.2649999,1646942804.275,1646942811.233,1646942811.248,1646942817.686,1646942817.698,1646942821.33,1646942821.3420002,1646942835.0700002,1646942835.084,1646942846.826,1646942846.8409998,1646942877.329,1646942877.348,1646942888.317,1646942888.352,1646942896.992,1646942897.012,1646942904.499,1646942904.5340002,1646942908.325,134439908,172086557,208896083,515422548,2.0,3.0,0.0,3.0,1.0,"['0b9cd441-8d2d-4258-80e5-6d49628d7d68', '5f363e1a-ec0a-4c7b-8aa6-291736720049', 'd5c83cc8-5caa-4cbe-a2ff-e3d43f710979', '57480ee0-df81-48e2-8585-291835ac8fdd', 'd489ad58-1ade-4e2f-a8a3-8a165d2834f7', '09355974-a156-46d6-b1cb-de31845906b7']",109.94573020935059,4.9579997062683105,6.95799994468689,6.438000202178955,3.631999969482422,13.727999925613403,11.741999864578247,30.48800015449524,10.968999862670898,8.640000104904175,7.486999988555908,3.7909998893737793,82.52499985694885
14,95326745-4788-41d4-9aa2-81c7e7ec3312,1646942804.373544,1646942924.516,1646942804.999,1646942814.262,1646942814.2700002,1646942821.971,1646942821.984,1646942831.7870002,1646942831.799,1646942835.3409998,1646942835.352,1646942856.427,1646942856.445,1646942863.245,1646942863.258,1646942891.332,1646942891.3430002,1646942898.685,1646942898.6990001,1646942906.7150002,1646942906.732,1646942918.793,1646942918.81,1646942924.516,184101680,221790193,258607311,664499184,3.0,3.0,0.0,3.0,0.0,"['e3c3046a-9df3-43f1-8d76-8d8f16b8e5cf', '3ab5346e-7045-4f37-bbbc-40431eb2c7cb', 'ad8deb3f-04da-4914-bef2-d909d63f9a1b', '1c40d260-3e8c-41b3-966f-bc1208c796b9', '74934612-06ff-49d9-b460-13403aff635a', '10cafb56-b9b0-47ea-9d96-faf5bbc122f9']",120.1424560546875,9.263000011444092,7.700999736785889,9.803000211715698,3.5419998168945312,21.075000047683716,6.799999952316284,28.074000120162964,7.341999769210815,8.016000032424927,12.060999870300293,5.706000089645386,79.0079996585846
15,ff0652a3-ba4d-4bdb-bb8b-833713c008c8,1646942810.4620218,1646942920.6790001,1646942810.796,1646942820.926,1646942820.9350002,1646942830.6590002,1646942830.6729999,1646942835.61,1646942835.625,1646942845.0540001,1646942845.0670002,1646942858.043,1646942858.0609999,1646942865.905,1646942865.92,1646942890.961,1646942890.977,1646942900.309,1646942900.328,1646942907.772,1646942907.794,1646942916.392,1646942916.409,1646942920.6790001,184092495,221784852,258601970,664479317,3.0,3.0,0.0,3.0,1.0,"['bb426f55-b7af-4ac9-b813-8ae362679597', 'a7f3bd63-f248-4b09-a72e-847d599a36e8', 'df8ad4bb-2b34-4c43-b56c-e03935275acc', '21f2c9e9-1a20-4eba-a3d2-2d5b593e49e2', 'a222e561-a7e3-4636-bce7-0c69a8937431', 'c2f85013-1fe3-46f7-b423-6004bba4445c']",110.2169783115387,10.130000114440918,9.723999977111816,4.937000036239624,9.42900013923645,12.97599983215332,7.8440001010894775,25.04099988937378,9.332000017166138,7.444000005722046,8.598000049591064,4.270000219345093,72.36099982261658
16,53cb85be-9fb9-4c52-b949-a6ac9e2d3059,1646942816.632576,1646942927.19,1646942816.811,1646942820.609,1646942820.619,1646942830.161,1646942830.1729999,1646942842.593,1646942842.605,1646942853.937,1646942853.949,1646942860.944,1646942860.9580002,1646942874.205,1646942874.2220001,1646942901.384,1646942901.401,1646942908.826,1646942908.8470001,1646942918.705,1646942918.725,1646942922.554,1646942922.575,1646942927.19,184071945,221772992,259478298,665323235,3.0,3.0,0.0,3.0,1.0,"['eee178d7-5876-4b6e-b739-666178271858', '8a80dada-f8ac-4a13-b8b5-95f8652809f1', '650d2d8a-b9ca-4b52-94eb-3358fcd24390', '7c9f807d-5796-442f-978f-fe2b1ff136a8', '59160781-7cd9-4e70-bf4c-864ddd64a7fb', '4f1132ca-02df-477f-ab97-209db49c392f']",110.55742406845093,3.797999858856201,9.54200005531311,12.420000076293945,11.332000017166138,6.995000123977661,13.246999740600586,27.161999940872192,7.424999952316284,9.857999801635742,3.8289999961853027,4.615000009536743,74.22899961471558
17,37e92ac4-b3d7-4e8e-a2c2-99f7287bea5b,1646942822.976473,1646943031.598,1646942823.241,1646942843.4540002,1646942843.464,1646942869.965,1646942869.978,1646942889.599,1646942889.616,1646942894.937,1646942894.951,1646942902.779,1646942902.794,1646942934.824,1646942934.8409998,1646942959.819,1646942959.837,1646942980.517,1646942980.539,1646943017.3769999,1646943017.396,1646943027.37,1646943027.386,1646943031.598,4981366660,5019092616,5055929950,15056389226,11.0,7.0,1.0,8.0,1.0,"['4af4fbc8-b79c-4119-bdc3-38b665e6172f', 'e7a1ca52-f542-4d0d-a5d8-a61c4ef46b1b', 'f8ef9a38-4e00-4c50-b4d2-0f9ab4b7be90', '8bfe5149-ebab-4105-8805-ac8070a7c2e2', '0d3a94f2-76c2-47ff-afb9-51ab4f359d65', '3b7ffb92-ade6-41df-8147-ab57b29376cb']",208.62152695655823,20.213000297546387,26.500999927520752,19.621000051498413,5.321000099182129,7.828000068664551,32.02999997138977,24.978000164031982,20.680000066757202,36.83799982070923,9.973999977111816,4.212000131607056,148.8550000190735
18,755d9a3d-404b-41e0-ada4-97b5c91ab51b,1646942829.2095559,1646942999.681,1646942830.077,1646942853.947,1646942853.9580002,1646942867.721,1646942867.739,1646942875.922,1646942875.938,1646942888.6529999,1646942888.672,1646942901.5059998,1646942901.523,1646942927.2140002,1646942927.23,1646942954.535,1646942954.5660002,1646942962.127,1646942962.144,1646942972.119,1646942972.14,1646942980.9910002,1646942981.0110002,1646942999.681,712235783,750041069,786878403,2249155255,7.0,2.0,0.0,5.0,1.0,"['d97dff77-0b24-4071-a2bf-c9bd4709e516', 'dbfe9895-0e73-41d1-9647-821c80a383d4', '5f3ff5f2-9f31-49d9-a4fa-104c048fd099', '41774e34-3ddf-4cc5-bf6d-a48dc999d2d8', 'ebddc8b5-9257-416f-9152-6df9030b3b53', '3224d879-87bf-488a-afc2-2bbf6cd44688']",170.47144412994385,23.87000012397766,13.762999773025513,8.182999849319458,12.714999914169312,12.833999872207642,25.69100022315979,27.305000066757202,7.560999870300293,9.974999904632568,8.8510000705719,18.669999837875366,97.12899971008301
19,fc9ec710-c4da-4c6a-9bf2-67edddbb5a14,1646942835.529731,1646942949.743,1646942835.784,1646942841.988,1646942841.999,1646942858.5180001,1646942858.532,1646942866.4950001,1646942866.507,1646942870.464,1646942870.477,1646942877.3270001,1646942877.3409998,1646942893.54,1646942893.554,1646942924.23,1646942924.247,1646942931.245,1646942931.263,1646942940.389,1646942940.4099998,1646942945.29,1646942945.308,1646942949.743,560957665,598768707,635606041,1795332413,5.0,3.0,1.0,3.0,1.0,"['456cde46-e4d4-4e91-a123-95350047127a', '9227288e-0ba7-486d-be00-1dbcd2f04135', 'e1251bd2-d879-4b21-9180-a93bd1a50438', 'a9e93ffe-983b-47d8-a8be-18fb337f4eb2', 'c40a411d-b20e-4e8c-82a0-0ab814339192', '3e166c12-e5d7-4bac-8d84-3221f18191b5']",114.21326899528503,6.203999996185303,16.51900005340576,7.963000059127808,3.9570000171661377,6.8500001430511475,16.199000120162964,30.676000118255615,6.997999906539917,9.125999927520752,4.880000114440918,4.434999942779541,86.36800026893616
