,action_id,start,end,SsxGatherData_start,SsxGatherData_end,Tar_start,Tar_end,SsxPlot_start,SsxPlot_end,DialsPlotHist_start,DialsPlotHist_end,PublishGatherMetadata_start,PublishGatherMetadata_end,PublishTransfer_start,PublishTransfer_end,PublishIngest_start,PublishIngest_end,PublishTransfer_bytes_transferred,total_bytes_transferred,PublishTransfer_action_time,PublishIngest_action_time,funcx_task_ids,flow_runtime,SsxGatherData_runtime,Tar_runtime,SsxPlot_runtime,DialsPlotHist_runtime,PublishGatherMetadata_runtime,PublishTransfer_runtime,PublishIngest_runtime,total_funcx_time
10,f5b6ecbf-689c-464b-9fe1-ff48ac9ce8f2,1648528662.22925,1648529003.9539998,1648528662.402,1648528677.666,1648528677.675,1648528969.072,1648528969.091,1648528976.8700001,1648528976.8830001,1648528983.7350001,1648528983.744,1648528993.5900002,1648528993.599,1648528999.039,1648528999.053,1648529003.9539998,77882677,77882677,4.0,1.0,"['32db87e9-81b9-4cc6-be70-a30187231350', 'f5e7ca4b-42c5-490b-911e-1b485a020938', '209ff54b-a3d8-48be-bd60-89039825ac35', '49c2a713-c897-418b-98e6-f7c52e9665c9', 'f59dba56-2792-4304-a8d5-e8200711e2af']",341.7247498035431,15.263999938964844,291.3970000743866,7.7790000438690186,6.851999998092651,9.84600019454956,5.440000057220459,4.9009997844696045,331.13800024986267
11,09c4cc5c-04b8-4cb2-a0bc-f33e10d20a2d,1648528664.996962,1648529000.599,1648528665.187,1648528689.5310001,1648528689.54,1648528968.58,1648528968.599,1648528976.742,1648528976.752,1648528983.796,1648528983.8070002,1648528990.6780002,1648528990.688,1648528995.381,1648528995.391,1648529000.599,77882677,77882677,3.0,0.0,"['7161f7c8-7875-4e4e-af31-7ab2a143ecf5', '77b2f163-5065-4798-bd1e-435bd9e7d2dd', 'b284ed66-d0ff-4f4e-836c-edbf87eb3fe9', '9ffd0a98-8e6b-4885-80a7-0a53b4f0daba', 'f0bd7701-ee70-4935-bdfb-6c9e787d5e87']",335.60203790664673,24.344000101089478,279.039999961853,8.14300012588501,7.043999910354614,6.871000051498413,4.693000078201294,5.20799994468689,325.44200015068054
12,932b51de-16b2-4098-adae-969871168e9b,1648528667.898431,1648529025.539,1648528668.099,1648528688.348,1648528688.358,1648528969.085,1648528969.1,1648528978.652,1648528978.667,1648528985.879,1648528985.889,1648529011.552,1648529011.563,1648529021.839,1648529021.851,1648529025.539,77882792,77882792,8.0,0.0,"['de46d5fb-cf62-4562-bd6a-3c5428e3a4de', '5a40b2cb-618b-4a64-a245-babbce277d6d', '2a97def4-5f1f-4ed7-8fd9-61215b8796bd', '40dfde36-b390-4e24-8e97-70a90f09bd9d', '542d14d9-06a9-401d-93bc-1be5766e5843']",357.6405689716339,20.249000072479248,280.72699999809265,9.552000045776367,7.211999893188477,25.663000106811523,10.276000022888184,3.687999963760376,343.40300011634827
13,e1fd1959-0980-4ee3-b1a2-a7b57656ee63,1648528670.9917388,1648529020.677,1648528671.1790001,1648528689.5740001,1648528689.5830002,1648528971.1699998,1648528971.184,1648528979.8579998,1648528979.866,1648528987.88,1648528987.888,1648529011.866,1648529011.8769999,1648529016.856,1648529016.866,1648529020.677,77882792,77882792,2.0,0.0,"['bb5b3d44-2056-4db9-bd5c-706977d080c1', 'c0d68c78-83c2-4e76-9a5b-d0d245e52abe', 'd2221ea2-43f6-4c2f-bd80-32ccb998ca61', 'ff01dc57-ae56-4362-af2f-22907cb86da4', 'a80297c5-5bf7-4570-b6da-ade2729655c7']",349.68526124954224,18.394999980926514,281.5869996547699,8.673999786376953,8.014000177383423,23.977999925613403,4.979000091552734,3.811000108718872,340.6479995250702
14,f2592625-8f23-454c-b594-ae7b160c765c,1648528674.363434,1648529016.189,1648528674.6430001,1648528699.389,1648528699.3990002,1648528976.328,1648528976.344,1648528983.336,1648528983.348,1648528991.8579998,1648528991.868,1648529006.4329998,1648529006.445,1648529011.747,1648529011.761,1648529016.189,77855305,77855305,4.0,1.0,"['61a882c9-1985-48dc-ae3e-ea68c9739bbb', '8cca0458-e385-4c56-bd36-13d018ef9f09', 'a9606dfa-16d9-4906-ba9f-c239dcfd6ef7', 'be60b232-061f-4705-a80e-44d3a72c331a', '55cca69d-9665-4538-ba51-b3ef288f5a39']",341.8255658149719,24.745999813079834,276.92899990081787,6.991999864578247,8.509999752044678,14.56499981880188,5.302000045776367,4.427999973297119,331.7419991493225
15,0677bd6b-ace6-47e0-81ad-a4eb95260539,1648528820.1138391,1648529436.783,1648528820.628,1648528846.976,1648528846.9859998,1648529386.769,1648529386.7849998,1648529394.387,1648529394.396,1648529420.1820002,1648529420.197,1648529427.3980002,1648529427.409,1648529431.625,1648529431.638,1648529436.783,104616056,104616056,3.0,1.0,"['3e8b092c-b594-4f96-9f0b-43a6f40c9989', 'e5433b8d-6529-4727-a78f-105aa212f6e6', '527323af-1f0c-4ea2-9449-74b91276cfc7', '41c4f727-1f9f-481c-bf96-c963c2219390', 'bb2153c6-cf40-41af-a8ed-261dfe310841']",616.6691608428955,26.348000049591064,539.7830002307892,7.6020002365112305,25.78600025177002,7.201000213623047,4.216000080108643,5.144999980926514,606.7200009822845
16,29823449-3dc8-4c71-9166-f8c232e04e32,1648530395.2011452,1648530989.488,1648530395.436,1648530403.134,1648530403.144,1648530410.0049999,1648530410.0140002,1648530424.6220002,1648530424.6369998,1648530700.1820002,1648530700.1990001,1648530978.772,1648530978.792,1648530983.76,1648530983.772,1648530989.488,21069,21069,3.0,1.0,"['b406d8a4-85e7-4242-9716-0165f4bef2f0', '8354feff-837e-4d67-9ee3-409b555bd46f', '4a3ec243-4bd7-4258-939f-64a8cbc58d16', '6d7f411c-8fc0-4049-9baa-af8dfee6a779', '416d9750-5a60-4c5f-a8dc-93abb0c330e9']",594.2868547439575,7.697999954223633,6.860999822616577,14.608000040054321,275.5450003147125,278.57299995422363,4.9679999351501465,5.7159998416900635,583.2850000858307
17,a7b49614-40e1-4dfe-af0a-3b34ad941c1d,1648530438.437901,1648531030.0,1648530438.808,1648530448.2220001,1648530448.2350001,1648530462.781,1648530462.7910001,1648530479.983,1648530479.992,1648531013.868,1648531013.882,1648531021.58,1648531021.5900002,1648531026.204,1648531026.2140002,1648531030.0,6777651,6777651,4.0,1.0,"['0081426b-51f0-4950-bdfb-d3bbb1376d39', 'de3d3542-2b42-4ac1-9029-a1bccc6459a5', 'e0e9fa9b-28c3-4eb6-9f32-3360365acba8', '67183256-b51c-4a9f-937b-0db2fa4326ab', 'b28ef717-0bac-4ef6-8dc5-1c7d4e20c72a']",591.56209897995,9.414000034332275,14.545999765396118,17.191999912261963,533.8759999275208,7.697999954223633,4.613999843597412,3.7859997749328613,582.7259995937347
18,bbff3eac-5744-482d-92ff-05fbabd43af6,1648530480.933434,1648531084.549,1648530481.188,1648530489.7500002,1648530489.78,1648530515.972,1648530515.981,1648530529.72,1648530529.7299998,1648531067.275,1648531067.2910001,1648531075.033,1648531075.044,1648531079.324,1648531079.336,1648531084.549,6757410,6757410,3.0,0.0,"['bb4bad04-ff8c-4081-9574-512e9a3192bb', '6fee0f3f-02dc-4dd7-a317-8811423b4f8d', 'adb30353-ee01-4d2b-b691-ac27ec4c0e6e', '699414c4-fe02-4c68-adb2-0e0eb9d55ffd', 'd2049ba8-7cc1-46f3-9096-79d6a6f51e65']",603.6155660152435,8.562000274658203,26.191999912261963,13.739000082015991,537.5450003147125,7.741999864578247,4.2799999713897705,5.213000059127808,593.7800004482269
19,3829f3a5-f7d0-49c3-b1ff-4efa91de9dcf,1648530524.1052659,1648530913.232,1648530524.396,1648530531.5870001,1648530531.595,1648530544.9020002,1648530544.912,1648530621.912,1648530621.932,1648530895.685,1648530895.704,1648530904.211,1648530904.23,1648530908.8019998,1648530908.815,1648530913.232,4585091,4585091,3.0,1.0,"['c95c2f54-c56f-42ae-b557-65703d2921ba', '0883a7bf-095b-4da3-b866-0c471b97b4ea', '3d054d82-022f-4858-9f1c-7acf25977bda', 'f0d7c117-ca98-4dcf-8fbf-a7cc3d11cdb2', '0aa78be8-a78e-4898-8264-a6899eed6f3d']",389.1267342567444,7.19100022315979,13.307000160217285,77.0,273.75300002098083,8.506999969482422,4.571999788284302,4.41700005531311,379.75800037384033
20,494dc77f-e100-4fa0-9320-9c00cd7e3196,1648530566.53159,1648530916.348,1648530566.8630002,1648530845.289,1648530845.3049998,1648530873.891,1648530873.903,1648530890.8830001,1648530890.893,1648530897.8630002,1648530897.873,1648530906.6169999,1648530906.6339998,1648530912.379,1648530912.39,1648530916.348,4585091,4585091,3.0,1.0,"['9e888a96-b9ed-4ac3-8d9a-fb203fbc224e', '60e9a440-c0aa-42b6-bf74-46d68bdb44af', 'fc9b75e0-5cf5-4f25-81d4-4540cd45df31', '5b692830-0a76-4012-99a1-23bfe73ce2fb', '3223b220-140e-42b0-b008-597920caf28c']",349.81641006469727,278.42599987983704,28.586000204086304,16.980000019073486,6.970000267028809,8.74399995803833,5.745000123977661,3.9579999446868896,339.70600032806396
21,c396ba89-0255-4967-a58d-14bf2c97cd65,1648530609.8751109,1648531020.0300002,1648530610.228,1648530886.425,1648530886.44,1648530912.375,1648530912.384,1648530919.8969998,1648530919.907,1648531001.385,1648531001.401,1648531009.829,1648531009.84,1648531015.8630002,1648531015.893,1648531020.0300002,6757410,6757410,2.0,0.0,"['71ff2833-88c7-457d-a19e-c078f7aa7e44', '946fd5d2-acae-41d2-9388-857f2168c183', 'b4d37bcb-9b2c-47b3-948a-16aefd0b5a27', '747c09b2-a752-4ad1-85e4-cf456ac1cea2', '0c87ea08-b2f8-414f-81ae-fec17e92392f']",410.15488934516907,276.1970000267029,25.93499994277954,7.512999773025513,81.4779999256134,8.42799997329712,6.023000240325928,4.137000322341919,399.55099964141846
22,c8991f8a-d65b-46aa-a324-fa63d6c01a11,1648530652.188125,1648530996.14,1648530652.619,1648530932.253,1648530932.269,1648530957.0579998,1648530957.068,1648530971.61,1648530971.6179998,1648530979.069,1648530979.084,1648530986.967,1648530986.98,1648530991.4889998,1648530991.499,1648530996.14,6777528,6777528,3.0,1.0,"['14c24cea-788a-4ed9-8e60-1be41cf9b7b1', '5fa726f6-c8a9-45c2-8a6b-9774b4e01997', '52206ace-30e0-4c53-9d77-4c270d93da7b', '0917a3e5-5319-40dc-a737-52477b2f0efa', '7b020713-ef30-4361-964f-8403cd8dbdc5']",343.95187520980835,279.6340000629425,24.788999795913696,14.541999816894531,7.451000213623047,7.882999897003174,4.508999824523926,4.641000032424927,334.29899978637695
23,023db004-68a2-4c91-a126-6abfa4a801a0,1648530695.289515,1648531021.218,1648530695.598,1648530973.9329998,1648530973.949,1648530990.508,1648530990.524,1648530997.591,1648530997.6009998,1648531004.901,1648531004.912,1648531013.355,1648531013.367,1648531017.516,1648531017.527,1648531021.218,6777601,6777601,2.0,0.0,"['a411176f-c719-48fb-9a67-a8d0b04d92a9', 'dc8d3567-0a4d-44fb-a598-7b78c1121de2', '56ba6d23-7fbf-4662-ade5-d369e88a4804', '3d138490-a42d-4a51-9049-27f79abe98f5', '829473a3-59f2-41ad-ad58-965ece4912fa']",325.928484916687,278.3349997997284,16.55900001525879,7.067000150680542,7.300000190734863,8.443000078201294,4.148999929428101,3.690999984741211,317.7040002346039
24,8172299a-de23-460f-8174-9c113de7d3bb,1648531234.018382,1648531627.8419998,1648531234.279,1648531241.219,1648531241.228,1648531515.952,1648531515.965,1648531523.838,1648531523.8460002,1648531602.77,1648531602.783,1648531616.431,1648531616.441,1648531620.717,1648531620.727,1648531627.8419998,37689478,37689478,3.0,1.0,"['ca36b060-dce8-44c9-8b64-229897c2250d', '8fc18716-af14-49b2-9337-8f4e56802cbe', '85fa5c2e-0464-4ebf-b5ef-e8ee8e6f01d8', 'b137c9f7-11f6-454d-8053-ee9dfb68197c', '52a0ad00-e18e-4252-be57-26176a8bd541']",393.8236176967621,6.940000057220459,274.7239999771118,7.873000144958496,78.92399978637695,13.648000001907349,4.276000022888184,7.114999771118164,382.1089999675751
25,661fbeea-6beb-4679-b6c0-de7529d1970c,1648531315.1671329,1648531505.797,1648531315.537,1648531323.671,1648531323.682,1648531403.015,1648531403.0300002,1648531411.481,1648531411.4910002,1648531489.443,1648531489.464,1648531496.612,1648531496.624,1648531501.5500002,1648531501.563,1648531505.797,25136201,25136201,2.0,1.0,"['61a6ba66-0ab1-4c76-9cc1-1ef5007d63b2', 'deaef3e1-1f8d-45d6-84c6-c4cb7e900839', 'b012a5f6-3c63-4602-820f-6009803dee7f', 'c1681cad-1779-4e60-a21e-7953f869ef8f', 'b876d995-b52d-44a9-9115-67f597b6e29d']",190.62986707687378,8.134000062942505,79.33300018310547,8.450999736785889,77.95199990272522,7.148000001907349,4.926000118255615,4.233999967575073,181.01799988746643
26,424881ae-60c1-4d48-83d9-879acb075f19,1648531358.072448,1648532001.666,1648531358.4950001,1648531371.283,1648531371.293,1648531912.964,1648531912.98,1648531920.232,1648531920.2489998,1648531937.7740002,1648531937.783,1648531986.966,1648531986.988,1648531996.515,1648531996.527,1648532001.666,112386812,112386812,3.0,0.0,"['323cfb63-4207-47b0-9f5f-503736a0a917', 'b5419564-eaa3-4427-b9fa-7e97140ce4e6', '61fa3d8a-09d2-4e13-8b41-3c36ca47da66', 'da11f763-75ec-470a-bf5a-c804a58fbdb0', 'd9833e69-b58d-443d-83b0-494226335654']",643.5935518741608,12.787999868392944,541.6710000038147,7.252000093460083,17.52500033378601,49.18300008773804,9.527000188827515,5.138999938964844,628.4190003871918
27,b58bea9b-e3a7-4ff9-bd09-bb774281685a,1648531401.466124,1648532015.388,1648531402.1929998,1648531427.9169998,1648531427.9299998,1648531964.813,1648531964.829,1648531980.26,1648531980.268,1648531997.273,1648531997.284,1648532004.472,1648532004.481,1648532011.107,1648532011.116,1648532015.388,112386812,112386812,3.0,1.0,"['215216b2-e7db-4099-97ba-0e510a30ded3', 'a5189122-3039-45b3-bb14-f9dde03fea40', 'e560bd0b-5520-4181-af7c-9dca11e89a68', 'b08b7761-d882-4bc9-8d1b-e5ece7471cc0', '1cd6742c-3d4b-48bc-a2b9-3b7daea8f6c2']",613.9218759536743,25.723999977111816,536.8830001354218,15.430999994277954,17.005000114440918,7.187999963760376,6.626000165939331,4.272000074386597,602.2310001850128
28,b9600b5f-4f16-4035-88c3-585ff5b7cb1a,1648531443.9967859,1648532031.2150002,1648531444.4060001,1648531463.99,1648531463.9980001,1648531999.4499998,1648531999.465,1648532006.957,1648532006.967,1648532015.1230001,1648532015.131,1648532022.269,1648532022.28,1648532026.631,1648532026.6950002,1648532031.2150002,112386812,112386812,3.0,1.0,"['db6bc60c-d8f9-4ea6-bdbd-2fdfbe97533a', '3d4c4710-ea51-42d9-9e6e-dba5666b3eb1', 'c69955c8-1c9c-47d0-a302-8eb67ce192e4', '23e39df8-8a9b-410e-98d7-5f09a64654a6', '2157f0bc-37f6-4fde-8d37-92ce48f0ab95']",587.2182142734528,19.58399987220764,535.4519996643066,7.492000102996826,8.156000137329102,7.138000011444092,4.351000070571899,4.519999980926514,577.8219997882843
29,38f71781-2be0-4b6d-9aa2-14754f3eb821,1648531529.976796,1648531891.563,1648531530.381,1648531577.6019998,1648531577.6169999,1648531852.701,1648531852.7180002,1648531862.7710001,1648531862.783,1648531870.502,1648531870.514,1648531880.133,1648531880.1420002,1648531885.164,1648531885.174,1648531891.563,92005906,92005906,3.0,0.0,"['425bd663-0f86-4c63-bc3d-a5bdc81b3a66', 'cfd40585-1054-4900-b856-4eb3c4bf1855', 'a8b36312-a4e1-45f6-b1af-16ade78181e4', 'a940f7c9-603d-41d3-aa67-7881b1c4057f', '83d69a78-fa1c-4008-acf8-024e6760fcb3']",361.58620405197144,47.2209997177124,275.0840001106262,10.05299997329712,7.7190001010894775,9.61899995803833,5.021999835968018,6.388999938964844,349.69599986076355
