,action_id,start,end,TransferOut_start,TransferOut_end,TransferData_bytes_transferred,total_bytes_transferred,TransferData_action_time,funcx_task_ids,flow_runtime,TransferOut_runtime,total_funcx_time
30,4b61ac11-21f3-4670-bcae-792814748cb9,1648529385.635026,1648529652.9689999,1648529385.839,1648529652.9689999,0,0,210.0,[],267.3339738845825,267.12999987602234,0
31,8ba46687-25d3-4486-9454-41a6579b04b4,1648529428.576867,1648529696.1390002,1648529428.804,1648529696.1390002,0,0,146.0,[],267.56213307380676,267.33500027656555,0
32,e59291c9-d749-468e-a754-c9fb3e625d7d,1648529473.972832,1648530513.092,1648529474.303,1648530513.092,0,0,530.0,[],1039.1191680431366,1038.7890000343323,0
33,8a7dee48-8d42-4676-818e-b0753ea48391,1648529514.534425,1648530036.476,1648529514.759,1648530036.476,0,0,396.0,[],521.941575050354,521.7170000076294,0
34,cc0f476f-4b0d-4771-8a5b-e30955d02b37,1648529557.5930219,1648530593.575,1648529557.8470001,1648530593.575,0,0,689.0,[],1035.9819781780243,1035.7279999256134,0
35,3d6f8ac7-3134-4143-86dc-32f79beeef68,1648529600.532258,1648530119.808,1648529600.8070002,1648530119.808,0,0,364.0,[],519.2757420539856,519.0009999275208,0
36,9d15509b-d28c-475d-a7a2-50beee3182d0,1648529643.548901,1648529777.0019999,1648529643.882,1648529777.0019999,0,0,106.0,[],133.4530987739563,133.11999988555908,0
37,382e76cf-87bf-4ec2-81fc-793235976a94,1648529686.521554,1648530205.816,1648529686.7500002,1648530205.816,0,0,372.0,[],519.2944459915161,519.0659997463226,0
38,8f81dfb4-6e36-47ca-9a90-07cd712fbcc1,1648529772.4095511,1648529907.0860002,1648529772.7089999,1648529907.0860002,0,0,99.0,[],134.67644906044006,134.37700033187866,0
39,8ffdcf1a-89fd-4203-9a43-a3f5d3695ed0,1648529815.3963578,1648530849.08,1648529815.703,1648530849.08,0,0,572.0,[],1033.6836421489716,1033.3769998550415,0
40,bcc163a5-3afe-4093-9693-64589befecc8,1648529858.2876601,1648530125.776,1648529858.63,1648530125.776,0,0,169.0,[],267.48833990097046,267.14599990844727,0
41,9987ac6e-75d2-4069-80a7-f9eeb79b2ff0,1648529901.356189,1648530421.922,1648529901.605,1648530421.922,0,0,345.0,[],520.565810918808,520.316999912262,0
42,71f6bb54-6a44-4031-8790-54551bafb6f7,1648529944.421813,1648530978.302,1648529944.766,1648530978.302,0,0,846.0,[],1033.880187034607,1033.5360000133514,0
43,1673eb34-9b2b-40c8-8a83-eb2d6964d2a7,1648529966.5032132,1648530487.336,1648529966.985,1648530487.336,233001859103,233001859103,355.0,[],520.8327867984772,520.3510000705719,0
44,95826a33-2507-4078-b0b8-796a7e20286c,1648529998.650808,1648531036.077,1648529998.921,1648531036.077,0,0,981.0,[],1037.4261918067932,1037.1559998989105,0
45,b5429e0e-6ae5-4c71-88a3-e004b6471cf7,1648530041.554204,1648530567.553,1648530041.783,1648530567.553,0,0,503.0,[],525.9987959861755,525.7699999809265,0
46,26279fca-c090-4f7e-998c-15e6b9ac7f3a,1648530084.411456,1648530607.553,1648530084.6940002,1648530607.553,0,0,477.0,[],523.1415438652039,522.8589997291565,0
47,d3098399-f650-4845-b888-76688b92d02e,1648530129.005335,1648530651.312,1648530129.388,1648530651.312,0,0,288.0,[],522.3066649436951,521.9240000247955,0
48,69e4701f-28ca-4d52-8659-0bdf4cf8b639,1648530218.822734,1648530739.3379998,1648530219.0860002,1648530739.3379998,0,0,303.0,[],520.5152657032013,520.2519996166229,0
49,5f6253d8-15c5-4e31-af92-6459b25fbdb7,1648530308.324916,1648530831.906,1648530308.626,1648530831.906,0,0,347.0,[],523.5810840129852,523.2799999713898,0
50,f9c837bf-4bae-4cf4-906d-c205e274d50b,1648530351.766738,1648531386.421,1648530352.043,1648531386.421,0,0,696.0,[],1034.6542620658875,1034.3780000209808,0
51,79f45b22-a765-4a73-a22c-6d0a5deaa7ba,1648530394.50805,1648530916.1299999,1648530394.755,1648530916.1299999,0,0,307.0,[],521.6219499111176,521.3749997615814,0
52,5a4158ef-64ba-4a82-9ae7-138f27237bb1,1648530437.258348,1648530956.943,1648530437.743,1648530956.943,0,0,492.0,[],519.6846520900726,519.2000000476837,0
53,52a0686e-4622-48a0-80fe-9fe441f30cb4,1648530522.934133,1648531556.4350002,1648530523.252,1648531556.4350002,0,0,816.0,[],1033.5008671283722,1033.183000087738,0
54,4341d375-d0a4-41ae-82c8-6c3d635e5a51,1648530608.6217222,1648531646.449,1648530609.391,1648531646.449,0,0,536.0,[],1037.8272776603699,1037.0579998493195,0
55,4a46eff0-00e4-4fa4-9646-c69b7d33b331,1648530651.36758,1648531694.2419999,1648530651.7510002,1648531694.2419999,0,0,590.0,[],1042.874419927597,1042.490999698639,0
56,687d427a-8709-4e3d-949a-b08147f952f7,1648530694.4105458,1648530827.3,1648530694.707,1648530827.3,0,0,98.0,[],132.88945412635803,132.59299993515015,0
57,5a58ef68-d984-4969-ad3e-a889d774345a,1648530737.470819,1648531001.446,1648530737.7619998,1648531001.446,0,0,149.0,[],263.9751811027527,263.68400025367737,0
58,ebf54dbb-ecc9-4c62-adbe-51323f9a8003,1648530759.7183502,1648531795.2089999,1648530759.996,1648531795.2089999,0,0,796.0,[],1035.4906497001648,1035.2129998207092,0
59,e741ead0-9d22-443e-b020-713fa45326ec,1648530791.853364,1648531832.905,1648530792.183,1648531832.905,0,0,548.0,[],1041.051635980606,1040.7219998836517,0
60,3f67eb0c-d06e-4107-998a-010559938d95,1648530834.672074,1648531354.3539999,1648530835.1420002,1648531354.3539999,233002327288,233002327288,346.0,[],519.6819257736206,519.2119996547699,0
61,3280c4b8-b492-4284-ba3c-ad636bc72888,1648530877.559453,1648531395.571,1648530877.789,1648531395.571,0,0,405.0,[],518.011547088623,517.7820000648499,0
