,action_id,start,end,Transfer_start,Transfer_end,PosTransfer_start,PosTransfer_end,Analyze_start,Analyze_end,Transfer2_start,Transfer2_end,Transfer1Result_bytes_transferred,Transfer2Result_bytes_transferred,total_bytes_transferred,funcx_task_ids,flow_runtime,Transfer_runtime,PosTransfer_runtime,Analyze_runtime,Transfer2_runtime,total_funcx_time
10,f240a86c-40bb-4840-be43-849bb20a8ed4,1644518371.770766,1644518542.988,1644518372.344,1644518376.656,1644518376.665,1644518382.971,1644518382.981,1644518537.072,1644518537.093,1644518542.988,11150548,19688440,30838988,[],171.2172338962555,4.311999797821045,6.305999994277954,154.09100008010864,5.894999980926514,154.09100008010864
11,a9454d27-85c2-4a61-8776-cbae154a5aee,1644518377.523829,1644518685.582,1644518377.7,1644518386.932,1644518386.941,1644518393.233,1644518393.244,1644518676.3260002,1644518676.346,1644518685.582,11168097,98348688,109516785,[],308.05817103385925,9.23199987411499,6.29200005531311,283.0820002555847,9.236000061035156,283.0820002555847
12,19d5ee21-ec3d-43e7-8241-8f2dfaca06c5,1644518383.1657212,1644518486.903,1644518383.5249999,1644518391.1169999,1644518391.1260002,1644518394.733,1644518394.742,1644518483.1660001,1644518483.189,1644518486.903,11148192,0,11148192,[],103.73727893829346,7.5920000076293945,3.6069998741149902,88.42400002479553,3.7140002250671387,88.42400002479553
13,3ca131d0-9ba8-4058-9ab5-fcd4da91a37f,1644518389.157284,1644518490.664,1644518389.8609998,1644518397.788,1644518397.798,1644518401.481,1644518401.497,1644518486.8270001,1644518486.8430002,1644518490.664,11174036,0,11174036,[],101.50671601295471,7.927000284194946,3.682999849319458,85.33000016212463,3.82099986076355,85.33000016212463
14,05cf3cb0-2b48-422d-a040-b2d7516081bb,1644518395.0340538,1644518487.315,1644518395.202,1644518398.9390001,1644518398.947,1644518404.732,1644518404.742,1644518483.512,1644518483.524,1644518487.315,11170304,0,11170304,[],92.28094625473022,3.7370002269744873,5.7850000858306885,78.76999998092651,3.7910001277923584,78.76999998092651
15,47a9292d-54a2-4235-9c9c-24e29935276e,1644518400.384938,1644518494.696,1644518400.589,1644518405.5340002,1644518405.56,1644518411.616,1644518411.625,1644518489.502,1644518489.5180001,1644518494.696,11185996,0,11185996,[],94.31106209754944,4.945000171661377,6.055999994277954,77.87700009346008,5.177999973297119,77.87700009346008
16,0ff364aa-8e59-4b87-902e-1f9a275b1df7,1644518406.261942,1644518506.069,1644518406.739,1644518410.605,1644518410.612,1644518414.871,1644518414.881,1644518500.726,1644518500.738,1644518506.069,11169883,0,11169883,[],99.807058095932,3.865999937057495,4.259000062942505,85.84500002861023,5.331000089645386,85.84500002861023
17,75d1dfbc-acd1-4d9b-adce-47b0179e87e0,1644518412.4920352,1644518520.057,1644518412.921,1644518422.197,1644518422.206,1644518428.824,1644518428.867,1644518514.034,1644518514.052,1644518520.057,11169095,0,11169095,[],107.56496477127075,9.276000022888184,6.617999792098999,85.16699981689453,6.004999876022339,85.16699981689453
18,a2475833-fbee-431a-bc72-a849101dd832,1644518432.420267,1644518990.018,1644518432.755,1644518442.2870002,1644518442.295,1644518445.997,1644518446.0049999,1644518985.443,1644518985.456,1644518990.018,11203524,98288768,109492292,[],557.5977327823639,9.532000064849854,3.7019999027252197,539.438000202179,4.561999797821045,539.438000202179
19,fab3da9d-3559-48cc-8083-03980dcb585c,1644518438.353329,1644518991.06,1644518438.6780002,1644518442.42,1644518442.43,1644518446.3539999,1644518446.364,1644518984.8470001,1644518984.871,1644518991.06,11196793,98288752,109485545,[],552.706670999527,3.741999864578247,3.923999786376953,538.4830000400543,6.188999891281128,538.4830000400543
